Country,R2,RMSE
Germany,-47.31681761093457,2.0392567508166133
India,-2.763044226505952,2.5598381666117622
Japan,-141.96884839019376,2.6268810656112582
United Kingdom,-226.31224718161812,6.258901153948439
United States,-4.9654806928571915,1.7294587153828886
